timestamp,timestamp_ms,event_date,hour_of_day,day_of_week,src_ip,dst_ip,reliability,severity,classtype,attack_status,dns_query,dns_qtype_name
2025-07-07 08:59:02.205,1751878742205,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,A
2025-07-07 08:59:00.199,1751878740199,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,AAAA
2025-07-07 08:58:59.203,1751878739203,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,AAAA
2025-07-07 08:58:58.192,1751878738192,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,AAAA
2025-07-07 08:58:58.191,1751878738191,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,AAAA
2025-07-07 08:58:58.191,1751878738191,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,AAAA
2025-07-07 08:58:58.182,1751878738182,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,A
2025-07-07 08:58:58.182,1751878738182,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,A
2025-07-07 08:58:58.181,1751878738181,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,A
2025-07-07 08:58:49.069,1751878729069,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,AAAA
2025-07-07 08:58:42.053,1751878722053,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,AAAA
2025-07-07 08:58:41.075,1751878721075,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,AAAA
2025-07-07 08:58:41.075,1751878721075,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,AAAA
2025-07-07 08:58:41.074,1751878721074,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,AAAA
2025-07-07 08:58:24.961,1751878704961,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,A
2025-07-07 08:58:20.947,1751878700947,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,AAAA
2025-07-07 08:58:18.987,1751878698987,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,A
2025-07-07 08:58:18.027,1751878698027,2025-07-07,8,Monday,210.30.97.179,210.5.56.145,7,4,threat-intelligence-alarm,attempt,hydra.plan9-ns1.com,A
2025-07-07 08:58:17.958,1751878697958,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,AAAA
2025-07-07 08:58:17.957,1751878697957,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,AAAA
2025-07-07 08:58:17.947,1751878697947,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,A
2025-07-07 08:58:17.947,1751878697947,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,A
2025-07-07 08:58:16.955,1751878696955,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,A
2025-07-07 08:58:16.955,1751878696955,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,AAAA
2025-07-07 08:58:16.955,1751878696955,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,AAAA
2025-07-07 08:58:13.015,1751878693015,2025-07-07,8,Monday,210.30.97.179,210.5.56.145,7,4,threat-intelligence-alarm,attempt,hydra.plan9-ns1.com,A
2025-07-07 08:58:04.068,1751878684068,2025-07-07,8,Monday,210.30.97.179,210.5.56.145,7,4,threat-intelligence-alarm,attempt,hydra.plan9-ns1.com,A
2025-07-07 08:58:02.579,1751878682579,2025-07-07,8,Monday,172.29.16.144,202.118.66.6,1,1,weird-behavior,attempt,authds.todesk.com,A
2025-07-07 08:57:59.040,1751878679040,2025-07-07,8,Monday,210.30.97.179,210.5.56.145,7,4,threat-intelligence-alarm,attempt,hydra.plan9-ns1.com,A
2025-07-07 08:57:54.012,1751878674012,2025-07-07,8,Monday,210.30.97.179,210.5.56.145,7,4,threat-intelligence-alarm,attempt,hydra.plan9-ns1.com,A
2025-07-07 08:57:49.036,1751878669036,2025-07-07,8,Monday,210.30.97.179,210.5.56.145,7,4,threat-intelligence-alarm,attempt,hydra.plan9-ns1.com,A
